video_id,title,channel_id,channel_name,category_id,category_name,published_at,view_count,like_count,comment_count,duration_seconds,thumbnail_url,tags,fetched_at,region
x3afZJck6vQ,I Tried Working As a Chef ...but My Customers are WILD ANIMALS,UCeBnbqt4VRhotq2TQjkIi2A,LaurenZside,20,Gaming,2026-03-21T16:05:43Z,168389,10326,911,2221,https://i.ytimg.com/vi/x3afZJck6vQ/hqdefault.jpg,"[""laurenzside"", ""Laurenzside of Gaming"", ""funny girl gamer""]",2026-03-22T14:57:42.889069+00:00,US
5TFQ2PjKnJI,This might actually be the BEST FNAF game I've played! | Five Nights At Frickbear's 3 (FULL GAME),UCx8vbgWs666cAS7wsKos5sA,8-BitRyan,20,Gaming,2026-03-21T19:00:05Z,159897,10120,517,4139,https://i.ytimg.com/vi/5TFQ2PjKnJI/hqdefault.jpg,"[""8bitryan"", ""8-bitryan"", ""8 bitryan"", ""five nights at frickbear's 3"", ""five nights at frickbear's"", ""five nights at freddy's"", ""fnaf"", ""five nights at frickbears 3"", ""five nights at frickbears 3 full game"", ""frickbears 3 all endings"", ""8bitryan fnaf"", ""fnaf fan games"", ""new fnaf game"", ""fnaf 8 bitryan"", ""8 bitryan fnaf""]",2026-03-22T14:57:42.889069+00:00,US
tkivMFARYtM,"I played the awful Jujutsu Kaisen game, so you don't have to",UCBODyKF0JMbUd6D9Bklyzbw,Alpharad,20,Gaming,2026-03-21T22:32:09Z,172385,9768,701,3125,https://i.ytimg.com/vi/tkivMFARYtM/hqdefault.jpg,"[""alpharad""]",2026-03-22T14:57:42.889069+00:00,US
MdMOKe8w6YA,Fortnite SEASON 2 BOYCOTT Explained,UCYn6CZe5UGIyPe9WJb0pTrg,Top5Gaming,20,Gaming,2026-03-21T21:32:41Z,235896,7990,972,605,https://i.ytimg.com/vi/MdMOKe8w6YA/hqdefault.jpg,"[""fortnite season 2"", ""Fortnite SEASON 2 BOYCOTT Explained"", ""fortnite"", ""fortnite new season"", ""new fortnite season"", ""season 2 fortnite"", ""fortnite season 2 vbucks"", ""vbucks fortnite"", ""fortnite vbucks"", ""fortnite new"", ""new fortnite"", ""fortnite season 2 secrets"", ""fortnite season 2 battelpass"", ""fortnite season 2 collabs"", ""season 2 fortnite new"", ""new fortnite update"", ""update fortnite"", ""fortnite update"", ""fort"", ""nite"", ""battle royale"", ""season 2"", ""new"", ""update"", ""video""]",2026-03-22T14:57:42.889069+00:00,US
HcSK3VW3Ums,Breaking Fallout 3 by Solving Problems with Violence,UCRC6cNamj9tYAO6h_RXd5xA,RTGame,20,Gaming,2026-03-21T18:00:16Z,156815,8738,494,3543,https://i.ytimg.com/vi/HcSK3VW3Ums/hqdefault.jpg,"[""rtgame"", ""rt"", ""game"", ""rtgames"", ""rtgaming"", ""rt games"", ""rtgamecrowd"", ""rt gaming"", ""rt game"", ""rtgame twitch"", ""fallout"", ""fallout 3"", ""fallout funny"", ""fallout funny moments"", ""fallout evil"", ""fallout bad karma"", ""rtgame fallout"", ""fallout rtgame"", ""fallout 3 gameplay"", ""fallout 3 funny"", ""fallout 3 let's play"", ""fallout 3 playthrough"", ""fallout 3 new"", ""fallout 3 evil"", ""fallout 3 bad karma"", ""fallout 3 story"", ""fallout 3 slaver"", ""fallout 3 white house"", ""fallout 3 dc"", ""fallout 3 behemoth"", ""fallout 3 ruins"", ""fallout 3 enclave""]",2026-03-22T14:57:42.889069+00:00,US
Efkxr4a-F7o,We Can't Be Seriously Having Another Support Strike In Marvel Rivals,UCpXyxLahbn7vZfR5fexenuw,Flats Two,20,Gaming,2026-03-21T20:30:01Z,165133,7608,1865,1057,https://i.ytimg.com/vi/Efkxr4a-F7o/hqdefault.jpg,"[""flats"", ""flats two"", ""flats Overwatch"", ""flats variety"", ""flats second"", ""overwatch flats"", ""FlatsOW"", ""flats overwatch"", ""Flats_OW"", ""Jay3"", ""Overwatch streamer"", ""overwatch 2"", ""Flats 2"", ""Second Flats"", ""Flat"", ""flat 2"", ""lifeweaver"", ""lifeweaver overwatch 2"", ""overwatch 2 lifeweaver"", ""flats overwatch 2"", ""overwatch 2 flats""]",2026-03-22T14:57:42.889069+00:00,US
SMgc4Lli81k,I am YOUR Teacher in Minecraft!,UCzYfz8uibvnB7Yc1LjePi4g,Aphmau,20,Gaming,2026-03-21T19:15:02Z,289048,10011,1390,1160,https://i.ytimg.com/vi/SMgc4Lli81k/hqdefault.jpg,"[""Aphmau"", ""Minecraft"", ""Minecraft funny"", ""Minecraft mods"", ""Minecraft Aphmau"", ""Aphmau pranks"", ""Aphmau Minecraft Pranks"", ""Aphmau Gaming"", ""Aphmau Games"", ""Aphmau Pranks Friends"", ""Aphmau Playing As"", ""Aphmau Aaron""]",2026-03-22T14:57:42.889069+00:00,US
NjQLVfZ0Nbo,"Minecraft, But I Secretly SHAPESHIFT...",UC0h07r_UgTD0Tc-Dn5XLX3g,Wisp,20,Gaming,2026-03-21T17:15:01Z,219879,6968,346,1787,https://i.ytimg.com/vi/NjQLVfZ0Nbo/hqdefault.jpg,"[""minecraft"", ""mine craft"", ""funny"", ""minecraft funny"", ""minecraft manhunt"", ""minecraft speedrunner"", ""minecraft challenge"", ""challenge"", ""minecraft but"", ""wisp"", ""wispexe"", ""minecraft mod"", ""modded minecraft"", ""minecraft speedrunner vs hunter"", ""diamond"", ""randomizer"", ""random"", ""i turned"", ""super"", ""minecraft super"", ""hardcore"", ""random items"", ""secretly"", ""i secretly used"", ""random minecraft"", ""items"", ""i survived"", ""modded"", ""shapeshift"", ""shapeshifter"", ""shapeshifted"", ""morph"", ""transform"", ""shape shift""]",2026-03-22T14:57:42.889069+00:00,US
SUrBLKI4lsQ,The Capybara's Are Watching Me...,UCeBPTBz1oRnsWsUBnKNNKNw,Joe Bart Games,20,Gaming,2026-03-21T19:45:50Z,91292,4285,253,770,https://i.ytimg.com/vi/SUrBLKI4lsQ/hqdefault.jpg,"[""joebartolozzi""]",2026-03-22T14:57:42.889069+00:00,US
wqSjSAMyXfU,Flights NEW $10k 99 Shaq Squad Was Goin Crazy UNTIL LBJ WENT DOWN &... 2K26,UCoGIPQ7M4NWai7LRgRhaSOg,NotYourAverageFlight,20,Gaming,2026-03-21T18:22:39Z,43977,1084,59,4184,https://i.ytimg.com/vi/wqSjSAMyXfU/hqdefault.jpg,"[""BEST BUILD"", ""nba 2k"", ""basketball"", ""sports"", ""education"", ""IRL sports content"", ""music"", ""family freindly"", ""MLB"", ""compilations"", ""rage"", ""funny hilarious challenge"", ""Madden 25"", ""DBZ sparking ZERO"", ""College football"", ""GTA 6"", ""nba 2k26"", ""2k26 online"", ""2k26 park"", ""madden 26"", ""call of duty"", ""nba 2026"", ""nfl 2026"", ""cars"", ""educational"", ""NHL"", ""World Cup"", ""meme"", ""tik tok""]",2026-03-22T14:57:42.889069+00:00,US
