video_id,title,channel_id,channel_name,category_id,category_name,published_at,view_count,like_count,comment_count,duration_seconds,thumbnail_url,tags,fetched_at,region
zGzg0OnqQrk,Google Just Dropped New Antigravity AI and It Puts Heat on OpenAI,UC5l7RouTQ60oUjLjt1Nh-UQ,AI Revolution,custom_LLM,LLM,2026-03-20T23:12:04Z,62287,1223,72,614,https://i.ytimg.com/vi/zGzg0OnqQrk/hqdefault.jpg,"[""AI News"", ""AI Updates"", ""AI Revolution"", ""AI"", ""ai news"", ""artificial intelligence"", ""google ai"", ""google antigravity"", ""antigravity ai"", ""google ai studio"", ""gemini"", ""gemini mac app"", ""google colab"", ""colab mcp server"", ""ai coding agent"", ""app building ai"", ""vibe coding"", ""google ai tools"", ""ai app builder"", ""ai software tools"", ""machine learning news"", ""google updates"", ""ai agents"", ""gemini update""]",2026-03-27T10:02:51.806631+00:00,US
n-VwC4-BfTM,ChatGPT vs Gemini vs Claude Make Clash Royale From Scratch,UC3nKTPXh9DE0Md3HvCPB7sw,tef,custom_LLM,LLM,2026-03-21T20:53:53Z,45300,2275,187,619,https://i.ytimg.com/vi/n-VwC4-BfTM/hqdefault.jpg,"[""chatgpt vs gemini"", ""chatgpt vs gemini vs claude"", ""chatgpt 5.4 vs gemini 3.1 vs claude 4.6"", ""chatgpt vs gemini vs claude make clash royale"", ""clash royale"", ""how to make clash royale"", ""chatgpt vs gemini fortnite"", ""chatgpt vs gemini minecraft"", ""chatgpt vs grok minecraft"", ""tef"", ""ai makes games"", ""chatgpt vs gemini vs claude make clash royale from scratch"", ""new clash royale update""]",2026-03-27T10:02:51.806631+00:00,US
aXZGaOpRVoQ,【3分で完了】Google最強AI NotebookLMとClaudeの神連携パワポ・スライド資料作成が神すぎた！,UCCIPlDofGZVef3HArQBRrEw,【さき】のAIでええやん。,custom_LLM,LLM,2026-03-22T09:00:01Z,34749,866,22,1814,https://i.ytimg.com/vi/aXZGaOpRVoQ/hqdefault.jpg,"[""ChatGPT"", ""AI活用"", ""Gemini"", ""Claude"", ""AI"", ""業務効率化"", ""時短"", ""ai""]",2026-03-27T10:02:51.806631+00:00,US
aC0SJMsCC-s,Stop Using Cursor & Google AI Tools — Code Unlimited for Free in VS Code,UCc8jaDgZqxLXliXwkArLSvg,Ai Tricker,custom_LLM,LLM,2026-03-20T12:11:21Z,25695,1072,172,963,https://i.ytimg.com/vi/aC0SJMsCC-s/hqdefault.jpg,"[""VS Code AI coding"", ""free AI coding tools 2026"", ""Cursor alternative free"", ""Google AI IDE alternative"", ""Agent Router VS Code setup"", ""DeepSeek R1 coding"", ""Claude API free coding"", ""build SaaS with AI free""]",2026-03-27T10:02:51.806631+00:00,US
ILMQu9NGQEI,Anthropic Made a Safer OpenClaw & More AI News You Can Use,UCHhYXsLBEVVnbvsq57n1MTQ,The AI Advantage,custom_LLM,LLM,2026-03-20T17:37:32Z,21166,784,38,1040,https://i.ytimg.com/vi/ILMQu9NGQEI/hqdefault.jpg,"[""theaiadvantage"", ""aiadvantage"", ""chatgpt"", ""ai"", ""artificial intelligence"", ""openai"", ""ai advantage"", ""igor"", ""igor pogany"", ""gpt5"", ""gpt-5"", ""google"", ""xai"", ""grok"", ""microsoft"", ""claude"", ""anthropic""]",2026-03-27T10:02:51.806631+00:00,US
I-4cJgqF_JY,NotebookLM Agent Skills: Build POWERFUL Claude AI Agents for ANYTHING!,UCYwLV1gDwzGbg7jXQ52bVnQ,Universe of AI,custom_LLM,LLM,2026-03-23T23:32:27Z,23333,882,18,907,https://i.ytimg.com/vi/I-4cJgqF_JY/hqdefault.jpg,"[""NotebookLM"", ""NotebookLM Deep Research"", ""NotebookLM tutorial"", ""NotebookLM 2026"", ""Claude AI"", ""Claude AI tutorial"", ""Claude Skills"", ""Claude Agent Skills"", ""Claude Code"", ""Claude Projects"", ""Anthropic Claude"", ""AI Agents"", ""AI Agent Workflow"", ""Build AI Agents"", ""AI Workflow"", ""AI Automation"", ""AI Productivity"", ""AI Tools 2026"", ""AI Tools"", ""Google NotebookLM"", ""Deep Research"", ""Deep Research AI"", ""AI Skills"", ""AI for Business"", ""AI Workflow Tutorial"", ""ChatGPT Alternative"", ""Gemini AI"", ""Google AI""]",2026-03-27T10:02:51.806631+00:00,US
CJ3qQw9Rgko,Kranke KI-Revolution: Dieses neue Tool verändert ALLES,UCcQz40FwO1qaePDQ5RRzlcw,Neulandpro,custom_LLM,LLM,2026-03-21T09:21:30Z,14749,541,42,978,https://i.ytimg.com/vi/CJ3qQw9Rgko/hqdefault.jpg,"[""neulandpro"", ""ki news"", ""ai news"", ""ki"", ""künstliche intelligenz"", ""ki news der woche"", ""deutsch"", ""ki news deutsch"", ""ai news deutsch"", ""update"", ""ai tools"", ""ki tools"", ""beste ki tools"", ""2025"", ""KI News"", ""künstliche Intelligenz"", ""AI News"", ""ChatGPT News"", ""OpenAI News"", ""Google Gemini"", ""KI Tools"", ""AI Tools"", ""Nvidia AI"", ""KI Agenten"", ""AI Agents"", ""KI Workflow"", ""AI Workflow"", ""AI Automation"", ""Tech News"", ""KI Deutschland"", ""Mistral AI"", ""Claude AI"", ""AI Video Tools"", ""Robotik KI"", ""KI Zukunft"", ""AI Innovation"", ""KI Business""]",2026-03-27T10:02:51.806631+00:00,US
INXY8x_cy-s,"НОВИНИ AI: Готові взяти AI-КОЛЕГУ на роботу? OpenAI, Anthropic та Nvidia здивували!",UCy3bfnqKyMGc6S5o4y4nPmg,Igor Matrofailo,custom_LLM,LLM,2026-03-22T08:00:00Z,13817,843,64,1588,https://i.ytimg.com/vi/INXY8x_cy-s/hqdefault.jpg,"[""imatrof"", ""100секундпроші"", ""штучнийінтелект"", ""штучно_інтелектуальні_історії"", ""історії"", ""новини"", ""ChatGPT"", ""DALLE 3"", ""Midjourney"", ""OpenAI"", ""Microsoft"", ""Stargate"", ""Google"", ""Amazon"", ""Tesla"", ""Штучний Інтелект по-українськи"", ""Продуктивність"", ""GPT Store"", ""GPTs"", ""новини сьогодні"", ""ші історії"", ""nvidia""]",2026-03-27T10:02:51.806631+00:00,US
SLTZSZ3uTVI,Gemini 正式解禁香港！免費版本有咩功能？完整教學 | 免費功能全部試晒 #Gemini香港 #GoogleAI #AI教學 #香港AI #免費AI #ai工具 #ai實戰 #廣東話 ,UCTU_nAAkekihOYA6mNUQMvQ,我想用Ai賺錢,custom_LLM,LLM,2026-03-21T10:00:45Z,8432,234,36,1581,https://i.ytimg.com/vi/SLTZSZ3uTVI/hqdefault.jpg,"[""人工智能應用"", ""我想用AI賺錢"", ""社交媒體管理"", ""AI機械人"", ""廣東話"", ""香港AI教學"", ""香港AI"", ""AI工具"", ""免費AI工具"", ""香港AI使用教學"", ""AI使用教學"", ""廣東話AI"", ""廣東話AI教學"", ""AI應用"", ""chatgpt"", ""Annie Yip"", ""香港YouTuber"", ""AI助手"", ""AI實戰"", ""2026AI趨勢"", ""AI落地應用"", ""Manus AI"", ""智能助手"", ""人工智能"", ""MCP Server"", ""Gemini香港"", ""Google Gemini"", ""Gemini免費"", ""Gemini教學"", ""Google AI"", ""Gemini 2026"", ""Gemini開放香港"", ""AI香港"", ""Gemini示範"", ""Canvas功能"", ""Imagen 3"", ""AI畫圖"", ""AI音樂"", ""Create Music"", ""Gemini Live"", ""Deep Research"", ""Gems功能"", ""ChatGPT替代"", ""Claude替代"", ""AI新手教學"", ""AI工具推介"", ""Google生態圈"", ""PremLogin"", ""AI賺錢"", ""Gemini解禁"", ""VPN免費AI"", ""AI 2026"", ""香港Google"", ""Gemini Pro"", ""Gemini Flash"", ""Veo 3.1"", ""Gemini香港版""]",2026-03-27T10:02:51.806631+00:00,US
VfqVkxol6I8,"OpenAI schaltet Sora ab! Claude als OpenClaw-Alternative, Lyria 3 Pro & Library in ChatGPT | KI-News",UCv90NdTyTp7ZPPRvvSZaS5w,Digitale Profis,custom_LLM,LLM,2026-03-26T16:00:47Z,7502,418,15,808,https://i.ytimg.com/vi/VfqVkxol6I8/hqdefault.jpg,"[""Digitale Profis"", ""Meixner & Ruof"", ""ki"", ""künstliche intelligenz""]",2026-03-27T10:02:51.806631+00:00,US
