video_id,title,channel_id,channel_name,category_id,category_name,published_at,view_count,like_count,comment_count,duration_seconds,thumbnail_url,tags,fetched_at,region
z2guHaoY2_Y,They lied to us about AI,UCAwT-7B6StW_xzXPku6v7MQ,Mo Bitar,custom_LLM,LLM,2026-03-19T12:01:45Z,196191,9271,1652,436,https://i.ytimg.com/vi/z2guHaoY2_Y/hqdefault.jpg,"[""developer"", ""software"", ""code"", ""vibecoding"", ""agentic coding"", ""software engineering"", ""openai"", ""anthropic"", ""opus"", ""codex""]",2026-03-25T09:38:22.783293+00:00,US
qb2-wq9MKss,MiniMax M2.7 IS INSANE! Best Agentic/Coding Model! Beats Opus 4.6 and 50x Cheaper! (Fully Tested),UC2WmuBuFq6gL08QYG-JjXKw,WorldofAI,custom_LLM,LLM,2026-03-20T02:21:19Z,49351,575,64,705,https://i.ytimg.com/vi/qb2-wq9MKss/hqdefault.jpg,"[""claude code"", ""minimax"", ""minimax m2.7"", ""minimax m2.5"", ""open source ai"", ""new ai model"", ""open source AI"", ""open source LLM"", ""coding AI"", ""best coding model"", ""SWE-Bench"", ""agentic AI"", ""AI agents"", ""LLM benchmarks"", ""AI coding assistant"", ""Claude Opus 4.6"", ""gemini 3.5"", ""sonnet 5"", ""glm 5"", ""new free ai model"", ""free ai model"", ""opencode"", ""openclaw"", ""ai coding assistant"", ""reasoning model"", ""deepseek v4"", ""vs code ai"", ""free llm"", ""pony alpha openclaw"", ""GLM-5"", ""new LLM"", ""AI coding"", ""AI frontend"", ""Opus 4.6"", ""gemini 3.1""]",2026-03-25T09:38:22.783293+00:00,US
n-VwC4-BfTM,ChatGPT vs Gemini vs Claude Make Clash Royale From Scratch,UC3nKTPXh9DE0Md3HvCPB7sw,tef,custom_LLM,LLM,2026-03-21T20:53:53Z,35619,1865,179,619,https://i.ytimg.com/vi/n-VwC4-BfTM/hqdefault.jpg,"[""chatgpt vs gemini"", ""chatgpt vs gemini vs claude"", ""chatgpt 5.4 vs gemini 3.1 vs claude 4.6"", ""chatgpt vs gemini vs claude make clash royale"", ""clash royale"", ""how to make clash royale"", ""chatgpt vs gemini fortnite"", ""chatgpt vs gemini minecraft"", ""chatgpt vs grok minecraft"", ""tef"", ""ai makes games"", ""chatgpt vs gemini vs claude make clash royale from scratch"", ""new clash royale update""]",2026-03-25T09:38:22.783293+00:00,US
p7O2uwNTB-E,Gemini vs Claude Make Rivals,UCPLxcaW1y1Uv02HbFMtOEgg,Crazy Cat,custom_LLM,LLM,2026-03-23T12:09:35Z,27798,748,129,658,https://i.ytimg.com/vi/p7O2uwNTB-E/hqdefault.jpg,"[""chatgpt 5.2"", ""claude"", ""vibe coding"", ""roblox"", ""roblox rivals"", ""rivals"", ""chatgpt vs gemini""]",2026-03-25T09:38:22.783293+00:00,US
lzQCdyAIUYA,It’s Almost Over’ — Sam Altman Just Revealed OpenAI’s Biggest Problem,UCGIiO6Uo8V8vkuLOcFvf3ZQ,BitBiasedAI,custom_LLM,LLM,2026-03-21T17:12:31Z,13201,334,29,804,https://i.ytimg.com/vi/lzQCdyAIUYA/hqdefault.jpg,"[""sam altman"", ""sam altman ai"", ""transformers are dying"", ""end of transformers"", ""future of ai"", ""ai architecture"", ""next ai architecture"", ""chatgpt architecture"", ""gpt future"", ""openai future"", ""openai architecture"", ""apple lito"", ""apple ai"", ""apple ai research"", ""lito ai"", ""3d ai model"", ""ai 3d reconstruction"", ""state space models"", ""mamba ai"", ""google titans"", ""mixture of experts"", ""moe ai"", ""ai scaling problem"", ""ai breakthrough"", ""agi future"", ""artificial intelligence"", ""machine learning"", ""ai explained""]",2026-03-25T09:38:22.783293+00:00,US
UNADKiBQE24,"ChatGPT, Gemini i Claude - 7 TRIKÓW, Które ZMIENIĄ Jak Pracujesz",UC55Xsy8GIzfeO7CuxTwtYkg,Startuj AI,custom_LLM,LLM,2026-03-19T15:12:35Z,12792,460,23,527,https://i.ytimg.com/vi/UNADKiBQE24/hqdefault.jpg,"[""ai"", ""sztuczna inteligencja"", ""ai dla początkujących"", ""sztuczna inteligencja dla początkujących"", ""ai jak zacząć"", ""chat gpt"", ""jak zacząć w ai"", ""chat gpt prompty"", ""jak pisać prompty"", ""chatgpt"", ""chatgpt krok po kroku"", ""chatgpt triki"", ""gemini porady"", ""gemini poradnik"", ""gemini triki"", ""gemini prompty"", ""gemini samouczek"", ""google gemini"", ""gemini czy chatgpt"", ""gemini"", ""nowy gemini"", ""gemini test"", ""chatgpt test"", ""claude"", ""poradnik ai"", ""ai poradnik"", ""claude poradnik"", ""agent ai"", ""claude code"", ""notebooklm"", ""kurs ai""]",2026-03-25T09:38:22.783293+00:00,US
_Www3tMBIMg,ИИ СОЗДАЛ CALL OF DUTY | ChatGPT vs Claude vs Gemini vs DeepSeek,UC6sCcOMQoY0BMVnDYizMFmA,НейроЧел+,custom_LLM,LLM,2026-03-22T13:30:40Z,11281,387,97,482,https://i.ytimg.com/vi/_Www3tMBIMg/hqdefault.jpg,"[""ai coding"", ""gemini ai"", ""vibe coding"", ""three.js game"", ""javascript tutorial"", ""разработка игр с нуля"", ""нейросети кодят""]",2026-03-25T09:38:22.783293+00:00,US
HZzTitS398Q,Sam Altman anuncia el fin de los Transformers: ¡ChatGPT será reemplazado!,UCRFuzruip1bPnw2wmBcmFLg,AI Revolution en Español,custom_LLM,LLM,2026-03-18T19:00:28Z,9538,223,2,658,https://i.ytimg.com/vi/HZzTitS398Q/hqdefault.jpg,"[""Apple Lito"", ""ChatGPT"", ""agentes IA"", ""arquitectura transformer"", ""automatización de tareas"", ""avances en IA"", ""inteligencia artificial"", ""modelos tridimensionales"", ""procesamiento de lenguaje"", ""verificación de código""]",2026-03-25T09:38:22.783293+00:00,US
Bhi7yFzwTH4,Geminiとの決定的な差。ノンエンジニアがClaudeで『動画編集ツール』を自作した10日間。,UCQU_9WCmWtH9mAI4HcyOeXw,Leo Tohyama,custom_LLM,LLM,2026-03-23T10:15:00Z,8622,227,17,742,https://i.ytimg.com/vi/Bhi7yFzwTH4/hqdefault.jpg,"[""ガジェット"", ""Leo"", ""生産性"", ""テック"", ""Tech"", ""Productivity""]",2026-03-25T09:38:22.783293+00:00,US
4bijCzNyVF0,【完全保存版】2026年最強AIの「Claude」がヤバすぎました【革命】,UCopTsucSPUP_N5n4fcLQtXQ,ここなのAI大学,custom_LLM,LLM,2026-03-24T09:00:06Z,7614,353,40,1978,https://i.ytimg.com/vi/4bijCzNyVF0/hqdefault.jpg,"[""AI副業"", ""AIツール"", ""AI稼ぐ""]",2026-03-25T09:38:22.783293+00:00,US
grHHNijmxtk,ChatGPT 5.4 vs Claude 4 — OpenAI’s Latest Update Tested (Full Guide),UC0yHbz4OxdQFwmVX2BBQqLg,AI Master,custom_LLM,LLM,2026-03-20T15:59:04Z,10494,149,13,945,https://i.ytimg.com/vi/grHHNijmxtk/hqdefault.jpg,"[""ChatGPT 5.4"", ""Claude 4"", ""ChatGPT vs Claude"", ""Claude AI review"", ""AI tools comparison"", ""best AI tools 2026"", ""AI models comparison"", ""GPT 5.4 thinking"", ""AI coding tools"", ""AI for developers"", ""AI productivity tools"", ""OpenAI vs Anthropic"", ""AI hallucinations"", ""AI workflow automation"", ""computer use AI"", ""ChatGPT features 2026"", ""Claude AI vs ChatGPT"", ""which AI is better"", ""AI comparison 2026"", ""generative AI tools"", ""LLM comparison"", ""AI for coding"", ""AI for writing""]",2026-03-25T09:38:22.783293+00:00,US
kYf98MPaUSo,Nemoclaw + Minimax 2.7 + OpenClaw + GPT 5.4 Mini + Claude Dispatch (AI NEWS),UCgl54MMemaGR47QeWs-lRcQ,AI News Today | Julian Goldie Podcast,custom_LLM,LLM,2026-03-19T11:10:00Z,7343,212,18,1699,https://i.ytimg.com/vi/kYf98MPaUSo/hqdefault.jpg,"[""julian goldie""]",2026-03-25T09:38:22.783293+00:00,US
DOiAKoHSPBY,"Cursor's $50B LIE, Claude Code 2.0 & OpenAI's FREAKY Mode!",UCYwLV1gDwzGbg7jXQ52bVnQ,Universe of AI,custom_LLM,LLM,2026-03-22T17:55:29Z,6458,122,18,632,https://i.ytimg.com/vi/DOiAKoHSPBY/hqdefault.jpg,"[""Cursor AI"", ""Cursor Composer 2"", ""Kimi K2.5"", ""Moonshot AI"", ""Claude Code"", ""Claude Code Channels"", ""Claude Code update"", ""Claude Code scheduled tasks"", ""Anthropic"", ""OpenAI"", ""ChatGPT"", ""ChatGPT adult mode"", ""OpenAI controversy"", ""AI news"", ""AI news 2026"", ""artificial intelligence"", ""AI coding"", ""AI agent"", ""AI tools 2026"", ""MCP"", ""Model Context Protocol"", ""Cursor scandal"", ""AI controversy"", ""AI weekly news"", ""agentic AI"", ""AI safety"", ""AI ethics"", ""Composer 2""]",2026-03-25T09:38:22.783293+00:00,US
MrZR11zNRMM,ChatGPT vs Claude vs Gemini: Kim Önde? (2026),UCQM-e16lwimmukFYYOu5yEQ,Öykü Kaygusuz,custom_LLM,LLM,2026-03-19T12:39:01Z,6238,227,33,656,https://i.ytimg.com/vi/MrZR11zNRMM/hqdefault.jpg,"[""ChatGPT vs Claude vs Gemini"", ""ChatGPT vs Claude"", ""ChatGPT vs Gemini"", ""Claude vs Gemini"", ""yapay zeka karşılaştırma"", ""ChatGPT alternatif"", ""Claude AI Türkçe"", ""Gemini Türkçe"", ""en iyi yapay zeka 2026"", ""yapay zeka hangisi"", ""AI araçları 2026"", ""ChatGPT 5.4"", ""Claude 4.6"", ""Gemini 3.1"", ""yapay zeka Türkçe"", ""ücretsiz yapay zeka"", ""AI karşılaştırma Türkçe"", ""kim önde"", ""yapay zeka hangisini kullanmalıyım"", ""ChatGPT alternatifleri 2026""]",2026-03-25T09:38:22.783293+00:00,US
KNoovJVS_nE,"ChatGPT, Claude, and Gemini All Fail for the Same 4 Reasons",UCVzcPkOAnbnzOpJzOCDNHwQ,Dylan Davis,custom_LLM,LLM,2026-03-19T18:00:24Z,5243,191,11,780,https://i.ytimg.com/vi/KNoovJVS_nE/hqdefault.jpg,[],2026-03-25T09:38:22.783293+00:00,US
ztk1sujP3BQ,"Merlin AI Review - (2026) I Replaced ChatGPT, Claude & Gemini and Cut my AI Costs",UCGCPcn5RFvRM0qDrooiV6LQ,Daniel Davidson,custom_LLM,LLM,2026-03-20T13:39:58Z,10733,,10,457,https://i.ytimg.com/vi/ztk1sujP3BQ/hqdefault.jpg,"[""merlin ai review"", ""merlin ai overview"", ""merlin ai guide"", ""merlin ai for business"", ""merlin ai tool"", ""merlin ai pros cons"", ""merlin ai features"", ""merlin ai demo"", ""how to use merlin ai"", ""what is merlin ai"", ""merlin ai app review"", ""merlin ai extension review"", ""merlin ai chrome extension"", ""merlin ai pricing"", ""merlin ai updates"", ""merlin ai honest review"", ""merlin ai walkthrough"", ""merlin ai tool review"", ""merlin ai software review"", ""merlin ai pros and cons"", ""merlin.ai"", ""merlin.ai review""]",2026-03-25T09:38:22.783293+00:00,US
YzlxhkMuta4,ChatGPT vs Gemini vs Claude: Hacen Backrooms desde CERO,UCu8CPX-O2wfj8Rp2jNs0S4w,breken,custom_LLM,LLM,2026-03-18T16:43:46Z,4489,166,48,675,https://i.ytimg.com/vi/YzlxhkMuta4/hqdefault.jpg,"[""backrooms"", ""the backrooms"", ""backrooms footage"", ""backrooms lore"", ""liminal spaces"", ""noclip"", ""level 0"", ""backrooms entities"", ""backrooms levels"", ""creepypasta"", ""analog horror"", ""found footage"", ""horror stories"", ""new backrooms levels"", ""backrooms explained"", ""chatgpt"", ""gemini"", ""chatgpt vs"", ""gemini vs"", ""claude vs"", ""chatgpt vs gemini vs claude"", ""ia"", ""inteligencia artificial"", ""ai"", ""backroom"", ""gaming horror"", ""gemini vs chatgpt"", ""roblox backrooms"", ""chat gpt"", ""chat gpt gratis"", ""artificial intelligence"", ""roblox""]",2026-03-25T09:38:22.783293+00:00,US
eK5YJXKFOwk,ChatGPT vs Gemini vs Claude crean Minecraft desde CERO,UCfXm44jztI6rMGgBO1MmV8A,Aldeano_,custom_LLM,LLM,2026-03-18T17:00:56Z,4353,159,25,642,https://i.ytimg.com/vi/eK5YJXKFOwk/hqdefault.jpg,"[""entretenimiento"", ""diversion"", ""divertido"", ""chatgpt"", ""gemini"", ""gemini ai"", ""artificial intelligence"", ""grok"", ""twitter"", ""tips"", ""tutorial"", ""chatgpt vs"", ""gemini vs"", ""deepseek"", ""plantas vs zombies"", ""pvz"", ""pvz 2"", ""pvz fusion"", ""grok ai"", ""grok ia"", ""grok ia twitter"", ""grok twitter"", ""Aldeano_"", ""Among Us"", ""Among Us 3D"", ""chat gpt"", ""inteligencia artificial"", ""chatgpt vs gemini"", ""chatgpt vs grok"", ""elon musk"", ""ai"", ""fnaf"", ""fnaf ia"", ""ai makes fnaf"", ""chatgpt vs grok vs gemini"", ""inteligencia artificial juegos"", ""ia creando videojuegos""]",2026-03-25T09:38:22.783293+00:00,US
-rX-1vCG6Mk,CHATGPT против CLAUDE против DEEPSEEK против GEMINI в WORLDBOX,UCn5XpY0AoF7KSMplGHvKqkg,Shidorobi,custom_LLM,LLM,2026-03-20T15:36:48Z,4242,129,42,1350,https://i.ytimg.com/vi/-rX-1vCG6Mk/hqdefault.jpg,"[""Симулятор бога"", ""Нейросети играют"", ""я заставил ИИ"", ""ИИ"", ""Нейросеть"", ""Чат ГПТ"", ""КЛАУД"", ""Дипсик"", ""Джемени"", ""Гемени"", ""Нейро"", ""Ворлдбокс""]",2026-03-25T09:38:22.783293+00:00,US
k_R7is-1FEw,"ChatGPT Tek Uygulama Oluyor! Claude Dispatch, Gemini Desktop, Stitch, AI Studio, Mistral Small 4",UCyfmdbYiR9HEy9nEUX2DU5w,Harun Seyhan,custom_LLM,LLM,2026-03-21T15:01:59Z,3497,208,71,2623,https://i.ytimg.com/vi/k_R7is-1FEw/hqdefault.jpg,[],2026-03-25T09:38:22.783293+00:00,US
9hXHqlZcneI,"A Hacker Tested ChatGPT, Claude & DeepSeek. What He Found Is Terrifying",UCWsdOwuIUInJwyXxI9j_Adw,Yaniv Hoffman,custom_LLM,LLM,2026-03-24T12:11:49Z,2866,141,29,1541,https://i.ytimg.com/vi/9hXHqlZcneI/hqdefault.jpg,"[""AI security"", ""AI privacy"", ""ChatGPT vulnerability"", ""DeepSeek security risk"", ""Claude AI"", ""Anthropic security"", ""AI data privacy"", ""cybersecurity AI"", ""LLM security"", ""prompt injection attack"", ""AI backdoor"", ""Manus AI"", ""ZombieAgent ChatGPT"", ""AI privacy policy"", ""data exfiltration AI"", ""AI nation state attack"", ""AI platform comparison"", ""American AI vs Chinese AI"", ""AI keystroke tracking"", ""CPU usage AI"", ""is ChatGPT safe"", ""is Claude AI safe"", ""AI stealing data"", ""browser extension security risk""]",2026-03-25T09:38:22.783293+00:00,US
_15HU2_MkXA,MiniMax M2.7 ! IA surpuissante qui s'améliore seule et qui rivalise avec ChatGPT & Claude !,UCxuIVJsiWhkYCkG3_fTYpSA,IA Professeur,custom_LLM,LLM,2026-03-21T09:47:30Z,2398,60,4,408,https://i.ytimg.com/vi/_15HU2_MkXA/hqdefault.jpg,"[""ia"", ""ai"", ""minimax m2.7"", ""ia chinoise"", ""open source ai"", ""vibe coding"", ""ollama"", ""chatgpt alternative"", ""claude 4.6 opus"", ""gpt 5.4"", ""tutoriel ia"", ""intelligence artificielle 2026"", ""agent minimax"", ""maxclaw"", ""heyluo 2.3"", ""programmation ia"", ""benchmark ia"", ""machine learning fr"", ""tuto informatique"", ""dev ia"", ""intelligence artificielle gratuite."", ""francais"", ""2026"", ""minimax m 2.7"", ""minimax"", ""ai chinoise"", ""chatgpt"", ""claude"", ""opus 4.6"", ""minimax 2.7"", ""mini max 2.7""]",2026-03-25T09:38:22.783293+00:00,US
09Hme0UbQLg,iOS 26.4 Çıktı! CarPlay Video ve Tüm Yenilikler,UCEHBzBbgtGwYh-Ru2K4pynQ,Derinden Teknoloji,custom_LLM,LLM,2026-03-24T20:23:36Z,5221,184,81,1233,https://i.ytimg.com/vi/09Hme0UbQLg/hqdefault.jpg,"[""ios 26.4"", ""ios 26.4 yenilikler"", ""ios 26.4 güncelleme"", ""ios 26.4 final"", ""ios 26.4 türkçe"", ""ios 26.4 inceleme"", ""ios 26.4 özellikleri"", ""ios 26.4 neler geldi"", ""ios 26.4 pil testi"", ""ios 26.4 performans"", ""ios 26.4 batarya"", ""iphone ios 26.4"", ""ios 26.4 carplay video"", ""ios 26.4 liquid glass"", ""iphone 17 pro ios 26.4"", ""ios 26.4 tüm yenilikler"", ""ios 26.4 yüklemeli miyim"", ""apple intelligence ios 26.4"", ""ios 26.4 ısınma sorunu"", ""ios 27 ne zaman"", ""ios 26.4 vs ios 26.3"", ""ios 26.4 klavye hatası çözümü""]",2026-03-25T09:38:22.783293+00:00,US
